лемма	TF	IDF	TF-IDF
абхазский	0.000285	0.116534	0.000033
август	0.000285	0.843970	0.000240
австралийский	0.000285	0.116534	0.000033
австрийский	0.000285	0.116534	0.000033
автоклав	0.000285	0.116534	0.000033
автор	0.000285	0.040822	0.000012
агро	0.000285	0.116534	0.000033
аджика	0.000285	0.040822	0.000012
аз	0.000285	0.127833	0.000036
азербайджанский	0.000285	0.116534	0.000033
азиатский	0.000285	0.127833	0.000036
азу	0.000285	2.813411	0.000801
айран	0.000285	0.040822	0.000012
акватик	0.000854	0.127833	0.000109
алексей	0.000285	0.127833	0.000036
алкоголь	0.000854	0.116534	0.000100
алкогольный	0.000285	0.116534	0.000033
альянс	0.000285	0.116534	0.000033
американский	0.000285	0.116534	0.000033
английский	0.000285	0.116534	0.000033
андрей	0.000285	0.127833	0.000036
апрель	0.000569	0.544727	0.000310
арабский	0.000285	0.116534	0.000033
аргентинский	0.000285	0.116534	0.000033
армянский	0.000285	0.116534	0.000033
аромат	0.000285	0.820981	0.000234
ароматный	0.000285	0.693147	0.000197
ассорти	0.000569	0.116534	0.000066
атлант	0.000285	0.116534	0.000033
афганский	0.000285	0.116534	0.000033
африканский	0.000285	0.116534	0.000033
аэрогриль	0.002847	0.116534	0.000332
бабич	0.000285	1.514128	0.000431
базилик	0.000569	1.609438	0.000917
баклажан	0.001424	0.040822	0.000058
балткома	0.000285	0.127833	0.000036
балык	0.000569	4.605170	0.002623
баранина	0.001139	0.116534	0.000133
басмати	0.000569	0.127833	0.000073
бастурм	0.000285	0.040822	0.000012
бастурма	0.000285	0.040822	0.000012
батон	0.001139	1.514128	0.001725
батончик	0.000285	0.127833	0.000036
башкирский	0.000285	0.116534	0.000033
безалкогольный	0.000285	0.116534	0.000033
безглютеновое	0.000285	0.116534	0.000033
безе	0.001139	0.040822	0.000046
бекон	0.000569	1.897120	0.001080
белебеевский	0.000569	0.116534	0.000066
белка	0.000285	2.120264	0.000604
белок	0.000854	2.040221	0.001743
белорусский	0.000285	0.116534	0.000033
бельгийский	0.000285	0.116534	0.000033
беременная	0.000285	0.116534	0.000033
беседин	0.000285	0.127833	0.000036
бисквит	0.000569	0.040822	0.000023
бисквитный	0.000854	0.105361	0.000090
биточек	0.000285	1.897120	0.000540
близкий	0.000569	0.116534	0.000066
блин	0.001708	0.040822	0.000070
блюдо	0.029328	0.040822	0.001197
бобовый	0.002278	0.116534	0.000265
болгарский	0.000854	0.116534	0.000100
большой	0.000569	0.094311	0.000054
борщ	0.001708	0.040822	0.000070
ботвинья	0.000285	0.040822	0.000012
бразильский	0.000285	0.116534	0.000033
брать	0.000285	1.897120	0.000540
браузер	0.000285	0.040822	0.000012
брауни	0.000285	0.040822	0.000012
бреа	0.000285	3.506558	0.000998
брест	0.000285	0.127833	0.000036
бризоль	0.000285	2.659260	0.000757
брокколи	0.000285	0.040822	0.000012
буженина	0.000285	0.040822	0.000012
булочка	0.000854	0.040822	0.000035
бульон	0.003986	0.040822	0.000163
бургер	0.000569	0.040822	0.000023
бурятский	0.000285	0.116534	0.000033
бутерброд	0.002278	0.040822	0.000093
быстро	0.000569	0.094311	0.000054
быстрый	0.000854	0.094311	0.000081
важный	0.000285	0.116534	0.000033
валлийский	0.000285	0.116534	0.000033
варена	0.000285	3.218876	0.000917
