токен	TF	IDF	TF-IDF
абсолютно	0.000277	1.832581	0.000507
абхазская	0.000277	0.116534	0.000032
августа	0.000277	0.867501	0.000240
австралийская	0.000277	0.116534	0.000032
австрийская	0.000277	0.116534	0.000032
автоклава	0.000277	0.116534	0.000032
авторам	0.000277	0.040822	0.000011
агро	0.000277	0.116534	0.000032
аджика	0.000277	0.040822	0.000011
азербайджанская	0.000277	0.116534	0.000032
азиатская	0.000277	0.127833	0.000035
азы	0.000277	0.127833	0.000035
айран	0.000277	0.040822	0.000011
акватика	0.000830	0.127833	0.000106
алексея	0.000277	0.127833	0.000035
алкоголь	0.000553	0.116534	0.000064
алкогольные	0.000277	0.116534	0.000032
алкоголя	0.000277	0.116534	0.000032
альянс	0.000277	0.116534	0.000032
американская	0.000277	0.116534	0.000032
американских	0.000277	2.407946	0.000666
американской	0.000277	2.120264	0.000586
америку	0.000277	2.407946	0.000666
английская	0.000277	0.116534	0.000032
андрея	0.000277	0.127833	0.000035
арабская	0.000277	0.116534	0.000032
аргентинская	0.000277	0.116534	0.000032
армянская	0.000277	0.116534	0.000032
аромат	0.000277	1.660731	0.000459
ароматного	0.000277	2.813411	0.000778
ассорти	0.000553	0.116534	0.000064
атлант	0.000277	0.127833	0.000035
афганская	0.000277	0.116534	0.000032
африканская	0.000277	0.116534	0.000032
аэрогриле	0.002765	0.116534	0.000322
бабич	0.000277	1.514128	0.000419
баклажаны	0.000277	0.040822	0.000011
балтком	0.000277	0.127833	0.000035
баранины	0.001106	0.116534	0.000129
басмати	0.000553	0.127833	0.000071
бастурма	0.000277	0.040822	0.000011
батончики	0.000277	0.127833	0.000035
батоны	0.000277	4.605170	0.001274
башкирская	0.000277	0.116534	0.000032
безалкогольные	0.000277	0.116534	0.000032
безглютеновые	0.000277	0.116534	0.000032
безе	0.001106	0.040822	0.000045
безобразия	0.000277	2.525729	0.000698
безумно	0.000277	1.560648	0.000432
белебеевский	0.000553	0.116534	0.000064
белокочанная	0.001106	0.994252	0.001100
белорусская	0.000277	0.116534	0.000032
белошвейка	0.000277	3.912023	0.001082
