токен	IDF
аааааааааа	4.605170
аббатства	4.605170
абгора	4.605170
абдюшева	4.605170
абес	4.605170
абилин	4.605170
абрикос	4.605170
абрикосами	3.912023
абрикосовый	3.912023
абсолютно	1.832581
абсурдны	4.605170
абхазская	0.116534
абхазского	3.912023
авантюризм	4.605170
август	4.605170
августа	0.867501
авдан	4.605170
авокадо	3.218876
авраменко	4.605170
аврора	4.605170
австралийская	0.116534
австралийский	3.506558
австралийской	4.605170
австрийская	0.116534
австрийский	4.605170
авто	4.605170
автоклав	4.605170
автоклава	0.116534
автоматическое	4.605170
автомобилем	4.605170
автомобиль	4.605170
автомобилями	4.605170
автор	1.427116
автора	2.407946
авторам	0.040822
авторизации	3.912023
авторитеты	4.605170
автором	2.407946
авторский	4.605170
авторское	4.605170
автору	1.660731
агро	0.116534
агродольче	4.605170
агрофены	4.605170
адалия	4.605170
адаптировала	3.506558
адаптирован	4.605170
адаптированного	4.605170
адаптированный	3.912023
аджика	0.040822
аджики	3.912023
аджикой	4.605170
администратором	4.605170
администратору	3.218876
адольфом	3.218876
адрес	3.218876
адреса	4.605170
адыгейская	4.605170
ажуре	2.525729
ажурные	2.659260
азербайджана	4.605170
азербайджанская	0.116534
азербайджанской	4.605170
азиатская	0.127833
азию	4.605170
азия	4.605170
азу	2.813411
азы	0.127833
айдахо	4.605170
айнтопф	3.912023
айран	0.040822
академии	4.605170
акараже	4.605170
аква	4.605170
акватика	0.127833
акветта	4.605170
аккаунтом	4.605170
аккуратно	3.506558
акрон	4.605170
активного	3.912023
активностей	4.605170
актуален	4.605170
актуально	4.605170
актуальной	4.605170
акцентом	4.605170
акции	2.120264
акция	4.605170
акчуч	2.995732
алабама	4.605170
аламеда	3.912023
алекс	4.605170
александер	3.506558
александр	4.605170
александром	3.218876
алексеева	4.605170
алексей	4.605170
алексея	0.127833
алена	4.605170
алиго	4.605170
алиева	3.506558
алиевых	4.605170
алисы	4.605170
алия	2.813411
алкоголем	4.605170
алкоголь	0.116534
алкогольные	0.116534
алкогольный	4.605170
алкогольных	4.605170
алкоголя	0.116534
алла	4.605170
аллочка	3.912023
аллочки	4.605170
аллюром	4.605170
алсу	4.605170
алушты	4.605170
альп	4.605170
альтернатива	3.506558
альтернативный	3.912023
альтернативу	3.912023
альтернативы	4.605170
альтрус	4.605170
альянс	0.116534
амандин	4.605170
амарант	4.605170
американская	0.116534
американски	2.995732
американский	3.912023
американских	2.407946
американское	4.605170
американской	2.120264
американском	4.605170
америки	3.912023
америку	2.407946
амплуа	3.912023
амура	4.605170
аналитики	4.605170
аналог	4.605170
аналогично	4.605170
аналогов	4.605170
аналогом	3.506558
ананас	2.995732
ананасами	4.605170
ананасов	3.912023
ананасовые	4.605170
анастасии	4.605170
анастасию	4.605170
анастасия	4.605170
анатомические	4.605170
ангарский	4.605170
ангел	4.605170
англии	4.605170
английская	0.116534
английски	3.912023
английский	3.218876
английского	4.605170
английской	4.605170
англичане	4.605170
ангус	4.605170
андалусиа	4.605170
андрея	0.127833
ане	4.605170
анечка	3.912023
анис	4.605170
анкарташ	4.605170
анкетах	4.605170
анкл	4.605170
анкоридж	4.605170
анна	2.995732
анны	3.218876
аноним	4.605170
антарес	4.605170
антидотом	4.605170
античном	4.605170
антонине	4.605170
антонио	3.912023
анчоусами	3.912023
анчоусы	3.912023
ань	4.605170
аня	4.605170
апайя	4.605170
апельсин	3.912023
апельсина	3.506558
апельсинах	4.605170
апельсиновый	3.506558
апельсиновым	4.605170
аппетит	3.506558
аппетита	2.659260
аппетитнейшем	3.506558
аппетитно	3.506558
аппетитное	3.912023
аппетитной	3.912023
аппетитную	3.218876
аппетитные	2.995732
аппетитный	4.605170
аппетитных	4.605170
апреле	4.605170
апрель	4.605170
апреля	0.579818
апфелькрен	4.605170
арабская	0.116534
арабского	3.912023
арабское	4.605170
арахис	2.995732
арахисовая	4.605170
арахисовое	4.605170
арбате	2.525729
арбузные	4.605170
арбузный	4.605170
аргентинская	0.116534
ареал	4.605170
аризона	3.912023
арканзас	4.605170
армии	4.605170
армянин	4.605170
армянская	0.116534
армянский	4.605170
аромат	1.660731
аромата	3.218876
ароматизатор	4.605170
ароматизаторов	4.605170
ароматизированное	4.605170
ароматная	1.832581
ароматнее	3.506558
ароматнейший	4.605170
ароматно	2.659260
ароматного	2.813411
ароматное	2.813411
ароматной	3.218876
ароматном	4.605170
ароматную	3.506558
ароматные	2.207275
ароматный	2.207275
ароматным	2.407946
ароматными	4.605170
ароматов	2.813411
ароматом	1.514128
ароматы	2.659260
артемовск	4.605170
артемовске	4.605170
артишок	3.506558
артишоками	3.506558
артишоки	3.912023
артишоков	3.912023
артишоком	4.605170
архангельске	4.605170
архива	4.605170
арцах	4.605170
арье	4.605170
ассорти	0.116534
ассоциация	4.605170
ассоциироваться	4.605170
ассоциируется	4.605170
ася	3.218876
атабаска	3.912023
атаева	4.605170
атлант	0.127833
атлантом	4.605170
атморе	4.605170
атмосфера	3.912023
атмосферу	2.995732
атрибут	4.605170
ауричка	3.506558
аутентично	3.506558
аутентичность	4.605170
афганская	0.116534
африканец	4.605170
африканская	0.116534
африканской	4.605170
афро	4.605170
афродизиака	4.605170
ах	3.912023
ачма	4.605170
ачмы	3.506558
аэрогриле	0.116534
аэрогриля	4.605170
аэропорту	2.525729
баба	3.912023
бабе	4.605170
бабич	1.514128
бабуля	3.912023
бабушка	2.659260
бабушке	4.605170
бабушки	3.912023
бабушкины	3.912023
бабушкой	4.605170
бабушку	4.605170
бабы	4.605170
баварски	4.605170
баварский	4.605170
баварских	4.605170
баварского	4.605170
баварской	4.605170
баварском	4.605170
багет	3.218876
багеты	3.912023
бад	4.605170
бадейка	4.605170
бадьян	3.218876
бажа	4.605170
баже	4.605170
базилик	1.609438
базового	4.605170
базовый	3.912023
байки	3.912023
байрам	4.605170
бакинский	4.605170
баклажан	2.207275
баклажанами	3.912023
баклажанная	4.605170
баклажанов	2.659260
баклажаны	0.040822
баков	4.605170
балаклавы	4.605170
балконами	4.605170
балконе	4.605170
балконом	2.302585
балмарея	4.605170
баловала	4.605170
балтимор	4.605170
балтком	0.127833
балык	4.605170
бальзамик	2.659260
бамии	4.605170
банальная	4.605170
банальнее	4.605170
банальное	3.506558
банальный	4.605170
банан	3.218876
банановые	4.605170
банановый	3.506558
банановым	4.605170
бананом	4.605170
бангор	3.912023
бане	4.605170
банзай	4.605170
банкам	3.506558
банке	2.407946
банки	3.912023
банковского	4.605170
баночек	3.506558
баночка	4.605170
баночки	3.912023
бара	3.912023
баранина	2.995732
баранине	4.605170
бараниной	3.912023
баранину	4.605170
баранины	0.116534
бараньей	4.605170
барах	3.506558
барашек	4.605170
барбарис	4.605170
барбекю	3.218876
барби	2.525729
бардака	4.605170
баре	4.605170
барнхаус	3.218876
барный	4.605170
бартлесвиль	4.605170
бархат	4.605170
бархатистой	4.605170
бархатистым	4.605170
бархатные	3.506558
бархатный	3.218876
бархатова	3.506558
бары	3.912023
барьерный	4.605170
басков	4.605170
басмати	0.127833
бассейне	4.605170
бастет	4.605170
бастурма	0.040822
бастурмой	4.605170
бастурму	4.605170
батат	4.605170
батон	1.660731
батона	2.995732
батончик	4.605170
батончики	0.127833
батоны	4.605170
баурсаки	4.605170
баффало	3.506558
башкирская	0.116534
баян	4.605170
баянище	4.605170
беарн	4.605170
бегом	4.605170
бед	4.605170
беда	3.506558
бедра	4.605170
бедро	2.302585
бедрышки	3.506558
беженцы	4.605170
безалкогольные	0.116534
безалкогольный	4.605170
безвреднее	3.506558
безглютеновые	0.116534
безделица	4.605170
безделушка	4.605170
безделья	4.605170
бездрожжевое	2.659260
бездрожжевой	4.605170
бездрожжевые	4.605170
безе	0.040822
беззаботными	4.605170
безказеиновой	4.605170
безмерно	2.659260
безо	3.506558
безобразия	2.525729
безопасно	4.605170
безответно	4.605170
безразмерная	4.605170
безумия	4.605170
безумно	1.560648
безупречные	3.912023
безусловно	4.605170
бейкерсфилд	4.605170
бекон	1.966113
бекона	4.605170
беконом	2.995732
белебеевский	0.116534
белка	3.912023
белки	2.407946
белко	4.605170
белковые	4.605170
белку	4.605170
бело	4.605170
белого	3.218876
белое	2.407946
белой	3.912023
белок	2.120264
белокочанная	0.994252
белокочанной	3.218876
белому	4.605170
белоруссии	3.506558
белорусская	0.116534
белоснежной	4.605170
белоснежные	4.605170
белоцерковская	4.605170
белоцерковской	4.605170
белочка	4.605170
белошвейка	3.912023
белошляпный	4.605170
белые	3.218876
белый	1.609438
белым	4.605170
белыми	4.605170
белых	4.605170
бельгийская	0.116534
белякова	4.605170
беляшей	4.605170
беляши	3.506558
бендерики	3.912023
беннито	3.912023
бенс	4.605170
берегитесь	4.605170
берегу	4.605170
березовой	4.605170
беременная	4.605170
беременных	0.116534
берете	4.605170
берется	4.605170
берил	4.605170
берите	3.218876
беркли	4.605170
берлина	4.605170
берлине	4.605170
берлински	4.605170
берлинские	4.605170
берлинский	4.605170
бернеса	4.605170
берут	4.605170
берём	3.506558
бесед	4.605170
беседина	0.127833
беседки	4.605170
бесконечно	4.605170
бесплатная	4.605170
бесповоротно	4.605170
бесподобная	4.605170
бесподобно	1.966113
бесподобное	3.912023
бесподобные	4.605170
бесподобный	2.407946
бесполезно	4.605170
беспорядок	4.605170
беспроигрышный	4.605170
бесспорно	4.605170
бесхлопотно	4.605170
бесчисленное	4.605170
бет	4.605170
бефстроганов	2.995732
бешамелем	3.912023
бешамель	2.813411
бешамеля	4.605170
бешбармак	3.506558
биа	2.995732
биг	4.605170
бигус	3.506558
биддефорд	4.605170
бизнес	2.525729
биндюжники	4.605170
бирмингем	4.605170
бисквит	0.040822
бисквита	2.813411
бисквитное	0.116534
бисквитный	0.105361
бисквитными	4.605170
бисквитов	2.995732
бисквиты	0.127833
бисмарка	4.605170
бисмарку	4.605170
битому	4.605170
биточки	1.897120
битый	4.605170
бифштекс	4.605170
бич	3.912023
бишь	4.605170
благо	3.912023
благоверный	4.605170
благовещенск	4.605170
благовещенцы	4.605170
благодарна	1.660731
благодарностей	4.605170
благодарность	2.813411
благодарностью	4.605170
благодарю	2.525729
благодаря	1.897120
благодарят	4.605170
благополучно	3.506558
благоухать	4.605170
блатная	4.605170
блатной	4.605170
блату	3.506558
блендером	4.605170
блеск	4.605170
блестящий	3.506558
ближе	0.116534
ближнего	4.605170
близка	3.912023
близкие	3.506558
близким	2.995732
близкими	4.605170
близких	0.116534
близок	4.605170
блин	3.506558
блина	4.605170
блинам	4.605170
блинами	3.218876
блинная	3.912023
блинница	3.912023
блинного	3.912023
блинные	3.506558
блинный	2.813411
блинных	3.912023
блинов	0.116534
блиноедка	4.605170
блинчатый	4.605170
блинчиками	3.506558
блинчики	2.040221
блинчиков	2.995732
блины	0.040822
блистательных	3.912023
блиц	2.207275
блог	4.605170
блога	2.407946
блогах	2.407946
блоггера	4.605170
блогера	2.995732
блогеров	4.605170
блоги	4.605170
блокировки	4.605170
блокнот	3.912023
блондинка	4.605170
блондиночка	3.218876
блуждая	4.605170
блю	3.506558
блюд	0.094311
блюда	0.040822
блюдам	2.813411
блюдами	4.605170
блюдах	4.605170
блюде	2.302585
блюдо	0.040822
блюдом	0.994252
блюду	0.116534
блюменталя	4.605170
бобовые	0.127833
бобовых	0.116534
бог	4.605170
бога	4.605170
богата	4.605170
богатейшим	4.605170
богатой	4.605170
богатый	3.218876
богатым	4.605170
богов	4.605170
богоявления	4.605170
богу	4.605170
бодрого	4.605170
бодрящий	4.605170
божественно	4.605170
божественный	4.605170
бои	4.605170
боитесь	3.912023
бойтесь	4.605170
бойцы	4.605170
бойчук	4.605170
бокал	4.605170
бокам	4.605170
болгарская	0.116534
болгарские	2.407946
болгарский	0.843970
болезни	4.605170
болезного	4.605170
болезнь	3.506558
болезням	4.605170
болельщики	4.605170
болеть	4.605170
больнице	4.605170
больно	1.966113
больные	4.605170
больше	0.105361
большие	3.912023
большим	3.218876
большими	3.912023
большинства	4.605170
большинстве	4.605170
большинство	2.407946
больших	3.506558
большого	4.605170
большое	1.560648
большой	1.560648
большом	4.605170
большому	3.506558
большую	3.912023
бомба	3.506558
бонус	3.912023
бонуса	4.605170
бооооольшим	3.218876
бородинского	4.605170
борт	2.525729
бортиками	4.605170
бортового	2.525729
борщ	0.040822
борща	3.218876
борщей	4.605170
борщи	3.506558
борщик	4.605170
борщику	3.506558
ботвинья	0.040822
боунд	3.912023
бочковой	4.605170
боюсь	4.605170
боялась	2.995732
брависсиимммооо	4.605170
брависсимо	4.605170
брависссииимооо	4.605170
браво	3.218876
браги	4.605170
бразилии	4.605170
бразильская	0.116534
бразильский	4.605170
бразильское	4.605170
брамптон	4.605170
брат	3.912023
братом	3.218876
брать	2.659260
браузера	4.605170
браузере	0.040822
брауни	0.040822
бреа	3.506558
бренда	4.605170
бренди	4.605170
брест	0.127833
бретон	3.912023
бретонский	4.605170
бри	4.605170
бризоль	2.659260
брикс	4.605170
бристол	4.605170
британский	4.605170
брожения	4.605170
брок	3.912023
брокколи	0.040822
бронзовую	4.605170
брук	4.605170
брускетта	4.605170
брускетты	4.605170
брусочками	3.912023
брызг	2.659260
брынза	4.605170
брынзой	4.605170
брэдфорд	4.605170
брюки	4.605170
будете	2.302585
будешь	4.605170
будней	3.506558
будни	3.506558
будничного	4.605170
будням	3.912023
буду	1.427116
будучи	4.605170
будущей	4.605170
будущем	4.605170
будь	4.605170
буженина	0.040822
буквально	2.407946
букет	3.506558
букета	4.605170
букетом	4.605170
